Country,Year,Variable,State,lit_Male,lit_Female,lit_Total,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Andhra Pradesh,67.5,53.4,60.4,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Assam,89.4,79.9,84.9,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Bihar,78.6,58.7,69.5,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Chhattisgarh,84,65.6,75,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Delhi,,,,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Gujarat,85.7,68,77,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Haryana,85.8,66.4,77,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Himachal Pradesh,92.3,79.2,85.6,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Jammu & Kashmir,84.9,66,75.8,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Jharkhand,80.6,61.4,71.4,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Karnataka,78.2,63.1,71,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Kerala,96.7,94.1,95.4,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Madhya Pradesh,77.9,61,69.8,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Maharashtra,87,71.4,79.4,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Odisha,82,67.3,74.9,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Punjab,85.5,74,80,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Rajasthan,77.6,52.6,65.5,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Tamil Nadu,84.2,70.8,77.5,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Telangana,70.6,53.7,62.1,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Uttarakhand,93.1,79,86.1,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Uttar Pradesh,80.5,60.4,70.8,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,West Bengal,82,72.6,77.4,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,all-India,81.5,65,73.5,Rural
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Andhra Pradesh,86.3,73.1,79.6,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Assam,96.1,91.4,93.8,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Bihar,89.3,75.9,83.1,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Chhattisgarh,91.8,82.3,87.2,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Delhi,94.1,83.4,89.4,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Gujarat,95.2,86.3,91.1,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Haryana,92.5,81.2,87.3,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Himachal Pradesh,97.8,93,95.5,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Jammu & Kashmir,88.5,75.7,82.6,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Jharkhand,92.6,78.6,86.1,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Karnataka,92.5,83.7,88.3,Urban
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Kerala,98.2,96.4,97.3,Urban
