country,year,variable,state,lit_male,lit_female,lit_total,urban,lit_gap
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Andhra Pradesh,67.5,53.400002,60.400002,Rural,-14.1
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Assam,89.400002,79.900002,84.900002,Rural,-9.5
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Bihar,78.599998,58.700001,69.5,Rural,-19.9
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Chhattisgarh,84,65.599998,75,Rural,-18.4
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Delhi,,,,Rural,
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Gujarat,85.699997,68,77,Rural,-17.700001
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Haryana,85.800003,66.400002,77,Rural,-19.4
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Himachal Pradesh,92.300003,79.199997,85.599998,Rural,-13.1
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Jammu & Kashmir,84.900002,66,75.800003,Rural,-18.9
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Jharkhand,80.599998,61.400002,71.400002,Rural,-19.200001
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Karnataka,78.199997,63.099998,71,Rural,-15.1
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Kerala,96.699997,94.099998,95.400002,Rural,-2.5999999
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Madhya Pradesh,77.900002,61,69.800003,Rural,-16.9
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Maharashtra,87,71.400002,79.400002,Rural,-15.6
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Odisha,82,67.300003,74.900002,Rural,-14.7
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Punjab,85.5,74,80,Rural,-11.5
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Rajasthan,77.599998,52.599998,65.5,Rural,-25
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Tamil Nadu,84.199997,70.800003,77.5,Rural,-13.4
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Telangana,70.599998,53.700001,62.099998,Rural,-16.9
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Uttarakhand,93.099998,79,86.099998,Rural,-14.1
India,2017,Literacy rate (in per cent) among persons of age 7 years and above for different states,Uttar Pradesh,80.5,60.400002,70.800003,Rural,-20.1
