Variable,Group,State,primary level,upper primary/middle level,primary and upperprimary/middle level,secondary level,higher secondary level,post higher secondary level
Gross Attendance Ratio (GAR),Rural Male,Andhra Pradesh,100.6,85.9,95.1,109.5,71.2,24.2
Gross Attendance Ratio (GAR),Rural Male,Assam,102.8,105.4,103.7,82.8,54.5,17.2
Gross Attendance Ratio (GAR),Rural Male,Bihar,96.4,103.7,98.8,80.1,67.4,19.4
Gross Attendance Ratio (GAR),Rural Male,Chhattisgarh,104.7,97.5,102,87.7,69.4,17.5
Gross Attendance Ratio (GAR),Rural Male,Gujarat,106.5,89.8,100,83.1,53.8,12.7
Gross Attendance Ratio (GAR),Rural Male,Haryana,105.9,92.8,100.7,96.8,65.9,18.3
Gross Attendance Ratio (GAR),Rural Male,Himachal Pradesh,100,88.4,94.5,107.5,104.4,29
Gross Attendance Ratio (GAR),Rural Male,Jammu & Kashmir,105.6,93.7,101.7,120.6,69.8,33.7
Gross Attendance Ratio (GAR),Rural Male,Jharkhand,113.2,92.4,106.5,84.9,54.5,17.4
Gross Attendance Ratio (GAR),Rural Male,Karnataka,107.3,89.6,100.9,86.7,68.9,20
Gross Attendance Ratio (GAR),Rural Male,Kerala,101.4,96.7,99.3,95.7,98.2,37.3
Gross Attendance Ratio (GAR),Rural Male,Madhya Pradesh,98.9,99.4,99,81.5,55.8,14.4
Gross Attendance Ratio (GAR),Rural Male,Maharashtra,96.8,103.9,99,108.5,79.6,30.7
Gross Attendance Ratio (GAR),Rural Male,Odisha,99,87.1,94.1,89.1,56.3,15
Gross Attendance Ratio (GAR),Rural Male,Punjab,102.7,100.6,101.9,94.3,77.8,17.7
Gross Attendance Ratio (GAR),Rural Male,Rajasthan,111,87.4,102.5,93.5,72.1,29.7
Gross Attendance Ratio (GAR),Rural Male,Tamil Nadu,98.8,95.7,97.5,89.7,81,31.9
Gross Attendance Ratio (GAR),Rural Male,Telangana,93.2,107.8,99.1,103.4,90.8,28.6
Gross Attendance Ratio (GAR),Rural Male,Uttarakhand,99,113.1,103.9,80.1,111.6,28.8
Gross Attendance Ratio (GAR),Rural Male,Uttar Pradesh,101.8,87.9,97,68.6,63.2,18.5
Gross Attendance Ratio (GAR),Rural Male,West Bengal,101.9,95.6,99.4,81.9,51.5,15.3
Gross Attendance Ratio (GAR),Rural Male,all-India,101.7,94.8,99.2,85.2,66.4,20.7
Gross Attendance Ratio (GAR),Rural Female,Andhra Pradesh,97.4,76.1,88.4,114.6,62.5,14
Gross Attendance Ratio (GAR),Rural Female,Assam,104.5,106.6,105.2,85.4,49.4,10.6
Gross Attendance Ratio (GAR),Rural Female,Bihar,98.8,91.7,96.5,85.3,55,8.8
Gross Attendance Ratio (GAR),Rural Female,Chhattisgarh,100.1,104.6,101.7,93.7,57.3,9.6
Gross Attendance Ratio (GAR),Rural Female,Gujarat,106.1,80.3,94.4,82.1,55.3,7.6
Gross Attendance Ratio (GAR),Rural Female,Haryana,112.7,91.5,103.4,96.5,69.7,21.6
Gross Attendance Ratio (GAR),Rural Female,Himachal Pradesh,98.2,97,97.7,92.7,114.4,34.5
Gross Attendance Ratio (GAR),Rural Female,Jammu & Kashmir,95.8,106.1,99.2,112.5,78.7,26.4
Gross Attendance Ratio (GAR),Rural Female,Jharkhand,108.8,91.8,103.2,93.2,34.3,7.9
Gross Attendance Ratio (GAR),Rural Female,Karnataka,98.7,92.9,96.7,94.1,67.5,12.7
Gross Attendance Ratio (GAR),Rural Female,Kerala,101.3,92.8,97.8,98.9,110.2,37.9
Gross Attendance Ratio (GAR),Rural Female,Madhya Pradesh,90.6,94.8,92,80.5,50.5,9.5
Gross Attendance Ratio (GAR),Rural Female,Maharashtra,99.2,91,95.9,100.6,71.6,18.2
Gross Attendance Ratio (GAR),Rural Female,Odisha,107,96.4,103.1,83.1,43.5,9.3
Gross Attendance Ratio (GAR),Rural Female,Punjab,107.7,86.4,99.8,92.4,83.8,23.5
Gross Attendance Ratio (GAR),Rural Female,Rajasthan,111.2,87.7,102,62.5,65.2,19
Gross Attendance Ratio (GAR),Rural Female,Tamil Nadu,99.9,91.7,96.6,98.2,98.8,32.5
Gross Attendance Ratio (GAR),Rural Female,Telangana,97.7,92,95.3,120.2,86.4,16.1
Gross Attendance Ratio (GAR),Rural Female,Uttarakhand,95.9,124.5,105.4,86.1,98.5,27.3
Gross Attendance Ratio (GAR),Rural Female,Uttar Pradesh,95.3,93.4,94.7,54.5,53.9,18.8
Gross Attendance Ratio (GAR),Rural Female,West Bengal,101.5,117.3,107.3,101.3,62.4,11.1
Gross Attendance Ratio (GAR),Rural Female,all-India,99.9,94.2,97.8,82.3,61.1,15.6
Gross Attendance Ratio (GAR),Rural,Andhra Pradesh,99.1,80.9,91.9,112.3,66.7,19.3
Gross Attendance Ratio (GAR),Rural,Assam,103.5,105.9,104.4,83.9,52,14
Gross Attendance Ratio (GAR),Rural,Bihar,97.4,98.9,97.9,82.1,62.8,14.1
Gross Attendance Ratio (GAR),Rural,Chhattisgarh,102.6,100.7,101.8,90.6,63.9,13.7
