variable,country,state,educ,group,gar_
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Female,67.199997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Male,78.5
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Rural,66.699997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Rural Female,62.5
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Rural Male,71.199997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Total,73
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Urban,83.900002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Urban Female,76.900002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,highersecondarylevel,Urban Male,89.199997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Female,23.299999
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Male,28.799999
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Rural,19.299999
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Rural Female,14
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Rural Male,24.200001
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Total,26.1
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Urban,40.400002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Urban Female,40.099998
Gross Attendance Ratio (GAR),India,Andhra Pradesh,posthighersecondarylevel,Urban Male,40.799999
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Female,88.300003
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Male,95.699997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Rural,91.900002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Rural Female,88.400002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Rural Male,95.099998
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Total,92.199997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Urban,92.699997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Urban Female,88
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primaryandupperprima,Urban Male,97
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Female,97.699997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Male,100.5
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Rural,99.099998
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Rural Female,97.400002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Rural Male,100.6
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Total,99.300003
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Urban,99.5
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Urban Female,98.5
Gross Attendance Ratio (GAR),India,Andhra Pradesh,primarylevel,Urban Male,100.4
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Female,123.1
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Male,104.7
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Rural,112.3
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Rural Female,114.6
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Rural Male,109.5
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Total,114.1
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Urban,118.4
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Urban Female,146.89999
Gross Attendance Ratio (GAR),India,Andhra Pradesh,secondarylevel,Urban Male,95.5
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Female,76.199997
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Male,88
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Rural,80.900002
Gross Attendance Ratio (GAR),India,Andhra Pradesh,upperprimarymiddlelevel,Rural Female,76.099998
